"","sample","site","time","date","wellID","pH","notes","type","watertable","Ca","Mg","Na","K","T.hyphen.Al","Si","Mn.hyphen.MP","Mn","Fe.hyphen.MP","Fe","Zn.hyphen.MP","Rb.hyphen.MP","Sr.hyphen.MP","Ba.hyphen.MP","Pb.hyphen.MP","F","Cl","NO3","SO4","DOC","TDN","NH4","M.hyphen.Al","O.hyphen.Al","conductivity","PO4","Sr","Zn"
"987","2667","K6s","-99",2014-09-22,"K6s",7.05,"3rd sample","G8",-99.9,2.97,0.57,1.66,0.47,0.09,6.04,NA,1.77,NA,1.511,NA,NA,NA,-100,NA,0.08,0.36,0.05,2.1,2.39,0.29,0.166,0.02,0.02,NA,NA,NA,NA
"988","2668","K8","-99",2014-09-22,"K8",5.99,"1st sample","G4",-99.9,2.01,0.35,1.58,0.55,0.18,5.24,NA,0.064,NA,0.212,NA,NA,NA,-100,NA,0.04,0.38,0.26,3.61,0.53,0.09,0.007,0.01,0.01,NA,NA,NA,NA
"989","2669","K8","-99",2014-09-22,"K8",6.06,"2nd sample","G4",-99.9,1.97,0.34,1.55,0.55,0.18,5.25,NA,0.049,NA,0.197,NA,NA,NA,-100,NA,0.05,0.38,0.41,3.56,0.4,0.11,0.005,0.01,0.01,NA,NA,NA,NA
"990","2670","K8","-99",2014-09-22,"K8",6.09,"3rd sample","G4",-99.9,1.95,0.33,1.55,0.51,0.13,5.15,NA,0.031,NA,0.116,NA,NA,NA,-100,NA,0.04,0.38,0.47,3.66,0.36,0.11,0.004,0.01,0.01,NA,NA,NA,NA
"991","2671","K8P1","-99",2014-09-23,NA,6.21,NA,"S4",-99.9,0.53,0.06,0.39,0.01,0.84,2.34,NA,0.001,NA,0.058,NA,NA,NA,-100,NA,0.03,0.35,0.01,0.22,9.36,0.25,0.013,NA,NA,NA,NA,NA,NA
"992","2672","K8P2","-99",2014-09-23,NA,5.63,NA,"S4",-99.9,0.61,0.1,0.86,0.01,0.15,1.31,NA,0.002,NA,0.012,NA,NA,NA,-100,NA,0.04,0.47,0.01,2.25,2.28,0.08,0.005,0.07,0.04,NA,NA,NA,NA
"993","2673","K9P2","-99",2014-09-23,NA,4.99,NA,"S3",-99.9,0.11,0.03,0.47,0,0.29,3.08,NA,0.004,NA,0.007,NA,NA,NA,-100,NA,0.04,0.22,0,1.79,1.82,0.1,0,NA,NA,NA,NA,NA,NA
"994","2674","K10P1","-99",2014-09-23,NA,4.96,NA,"S5",-99.9,0.39,0.06,0.43,0.06,0.15,1.34,NA,0.033,NA,0.003,NA,NA,NA,-100,NA,0.02,0.38,0.27,2.26,0.96,0.11,0.004,0.14,0.01,NA,NA,NA,NA
"995","2675","K10P2","-99",2014-09-23,NA,4.98,NA,"S5",-99.9,0.37,0.07,0.46,0.06,0.12,1.26,NA,0.029,NA,0.003,NA,NA,NA,-100,NA,0.03,0.36,0.04,2.36,0.8,0.05,0.005,0.13,0.01,NA,NA,NA,NA
"996","2676","K10P3","-99",2014-09-23,NA,5.07,NA,"S5",-99.9,0.34,0.06,0.54,0.02,0.12,1.39,NA,0.02,NA,0.002,NA,NA,NA,-100,NA,0.03,0.33,0,2.49,0.81,0.04,0.003,0.14,0.01,NA,NA,NA,NA
"997","2677","N4P1","-99",2014-09-23,NA,4.81,NA,"S2",-99.9,0.13,0.04,0.28,0.01,0.32,1.45,NA,0.049,NA,0.013,NA,NA,NA,-100,NA,0.02,0.3,0.09,2.15,2.07,0.09,0.003,0.34,0.03,NA,NA,NA,NA
"998","2678","N4P2","-99",2014-09-23,NA,4.92,NA,"S2",-99.9,0.15,0.05,0.4,0.01,0.26,1.28,NA,0.064,NA,0.013,NA,NA,NA,-100,NA,0.04,0.39,0.06,2.19,1.09,0.06,0.002,NA,NA,NA,NA,NA,NA
"999","2679","K6s","13:05",2014-10-07,"K6s",6.16,NA,"G8",-21.9,3.22,0.59,1.71,0.51,0.06,6.3,NA,2.132,NA,1.532,NA,NA,NA,-100,NA,0.07,0.85,0.07,2.77,2.62,0.29,0.165,0.04,0.03,NA,NA,NA,NA
"1000","2680","K6s","14:00",2014-10-07,"K6s",6.63,NA,"G8",-21.7,2.94,0.54,1.63,0.47,0.05,6.05,NA,2.024,NA,1.458,NA,NA,NA,-100,NA,0.09,0.79,0.06,3.09,2.63,0.27,0.154,0.03,0.03,NA,NA,NA,NA
"1001","2681","K6s","15:20",2014-10-07,"K6s",6.57,NA,"G8",-21.4,2.92,0.52,1.59,0.47,0.08,5.93,NA,2.145,NA,1.438,NA,NA,NA,-100,NA,0.08,0.81,0.15,3.21,3.15,0.33,0.139,0.04,0.03,NA,NA,NA,NA
"1002","2682","K6s","16:20",2014-10-07,"K6s",6.9,NA,"G8",-21.2,3.03,0.55,1.64,0.51,0.06,6.13,NA,2.106,NA,1.518,NA,NA,NA,-100,NA,0.08,0.79,0.11,3.28,3.4,0.28,0.144,0.04,0.03,NA,NA,NA,NA
"1003","2683","K9P2","15:05",2014-10-07,NA,4.92,NA,"S3",-99.9,0.13,0.04,0.47,0.05,0.33,3.2,NA,0.015,NA,0.007,NA,NA,NA,-100,NA,0.02,0.42,0.03,1.81,2.27,0.09,0.007,NA,NA,NA,NA,NA,NA
"1004","2684","K10P1","15:10",2014-10-07,NA,4.96,NA,"S5",-99.9,0.42,0.06,0.43,0.1,0.16,1.36,NA,0.037,NA,0.003,NA,NA,NA,-100,NA,0.02,0.41,0.31,2.41,1,0.1,0.003,0.12,0.02,NA,NA,NA,NA
"1005","2685","K10P2","15:10",2014-10-07,NA,5.03,NA,"S5",-99.9,0.38,0.06,0.47,0.07,0.12,1.25,NA,0.03,NA,0.003,NA,NA,NA,-100,NA,0.03,0.4,0.09,2.48,0.87,0.08,0.005,NA,NA,NA,NA,NA,NA
"1006","2686","K10P3","15:10",2014-10-07,NA,5.05,NA,"S5",-99.9,0.33,0.06,0.49,0.02,0.15,1.35,NA,0.019,NA,0.002,NA,NA,NA,-100,NA,0.02,0.32,0.03,2.52,0.87,0.05,0.003,0.13,0.01,NA,NA,NA,NA
"1007","2687","N3","12:45",2014-10-07,"N3",3.99,NA,"G1",74.7,0.37,0.09,0.38,0.86,0.71,1.81,NA,0.292,NA,0.208,NA,NA,NA,-100,NA,0.04,1.4,2.68,1.33,22.57,1.18,0.041,0.48,0.38,NA,NA,NA,NA
"1008","2688","N3","13:40",2014-10-07,"N3",4.03,NA,"G1",75,0.28,0.07,0.33,0.6,0.65,1.58,NA,0.227,NA,0.201,NA,NA,NA,-100,NA,0.03,1,1.63,1.35,20.62,0.92,0.012,0.42,0.34,NA,NA,NA,NA
"1009","2689","N3","14:40",2014-10-07,"N3",4.02,NA,"G1",75.1,0.24,0.07,0.36,0.41,0.73,1.78,NA,0.18,NA,0.243,NA,NA,NA,-100,NA,0.04,1.02,0.9,1.46,21.22,0.78,0.009,0.46,0.36,NA,NA,NA,NA
"1010","2690","N3","15:40",2014-10-07,"N3",4.02,NA,"G1",75.2,0.23,0.07,0.37,0.32,0.8,1.97,NA,0.173,NA,0.287,NA,NA,NA,-100,NA,0.04,1.01,0.69,1.48,22.62,0.74,0.01,0.48,0.38,NA,NA,NA,NA
"1011","2692","N4","12:50",2014-10-07,"N4",4.15,NA,"G2",89.2,0.49,0.11,0.37,0.63,1.05,2.28,NA,0.253,NA,0.201,NA,NA,NA,-100,NA,0.03,1.09,3.09,1.39,20.39,1.24,0.064,0.69,0.46,NA,NA,NA,NA
"1012","2693","N4","13:45",2014-10-07,"N4",4.17,NA,"G2",89.2,0.4,0.09,0.36,0.35,0.89,2.09,NA,0.198,NA,0.185,NA,NA,NA,-100,NA,0.03,0.93,2.06,1.43,17.14,0.9,0.014,0.59,0.39,NA,NA,NA,NA
"1013","2694","N4","14:50",2014-10-07,"N4",4.22,NA,"G2",89.3,0.27,0.07,0.39,0.14,0.76,2.01,NA,0.132,NA,0.134,NA,NA,NA,-100,NA,0.06,0.83,2.06,1.46,10.45,0.72,0.004,0.54,0.29,NA,NA,NA,NA
"1014","2695","N4","15:45",2014-10-07,"N4",4.29,NA,"G2",89.3,0.23,0.06,0.39,0.09,0.69,1.82,NA,0.115,NA,0.095,NA,NA,NA,-100,NA,0.05,0.77,2.37,1.69,8.29,0.71,0.006,0.53,0.23,NA,NA,NA,NA
"1015","2696","N4P1","14:50",2014-10-07,NA,4.71,NA,"S2",-99.9,0.11,0.04,0.25,0.02,0.36,1.67,NA,0.049,NA,0.014,NA,NA,NA,-100,NA,0.03,0.32,0.07,2.28,2.12,0.12,0.005,0.31,0.04,NA,NA,NA,NA
"1016","2697","N4P2","14:50",2014-10-07,NA,4.88,NA,"S2",-99.9,0.14,0.05,0.34,0.01,0.32,1.2,NA,0.065,NA,0.005,NA,NA,NA,-100,NA,0.05,0.41,0.05,2.34,1.18,0.06,0.003,0.25,0.02,NA,NA,NA,NA
"1017","2698","Bedrock L","14:40",2014-10-07,NA,4.04,NA,"G0",-99.9,0.85,0.18,0.43,1.37,0.2,1.77,NA,0.503,NA,0.2,NA,NA,NA,-100,NA,0.07,1.5,1.24,1.33,28.21,1.13,0.073,0.17,0.18,NA,NA,NA,NA
"1018","2699","Bedrock R","14:40",2014-10-07,NA,4.42,NA,"G0",-99.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0.05,1.43,1.58,1.12,14.8,0.67,0.028,NA,NA,NA,NA,NA,NA
"1019","2700","K6s","8:30",2014-10-08,"K6s",6.66,NA,"G8",-20.5,3.03,0.56,1.67,0.48,0.05,5.99,NA,2.139,NA,1.157,NA,NA,NA,-100,NA,0.09,0.82,0.13,2.78,3.08,0.3,0.15,0.04,0.03,NA,NA,NA,NA
"1020","2701","K6s","9:30",2014-10-08,"K6s",6.56,NA,"G8",-20.3,3.1,0.57,1.69,0.48,0.05,5.99,NA,2.21,NA,1.218,NA,NA,NA,-100,NA,0.09,0.88,0.13,3.15,3,0.27,0.136,0.04,0.03,NA,NA,NA,NA
"1021","2702","K6s","10:40",2014-10-08,"K6s",6.86,NA,"G8",-20.2,3.22,0.59,1.72,0.51,0.06,5.99,NA,2.335,NA,1.21,NA,NA,NA,-100,NA,0.08,0.94,0.14,3.26,3.56,0.27,0.136,0.04,0.03,NA,NA,NA,NA
"1022","2703","K6s","11:35",2014-10-08,"K6s",6.86,NA,"G8",-20.1,3.2,0.58,1.69,0.51,0.06,5.94,NA,2.402,NA,1.351,NA,NA,NA,-100,NA,0.09,0.89,0.15,3.16,3.67,0.26,0.118,0.04,0.03,NA,NA,NA,NA
"1023","2704","K9P2","10:20",2014-10-08,NA,4.92,NA,"S3",-99.9,0.11,0.04,0.45,0,0.36,3.11,NA,0.018,NA,0.008,NA,NA,NA,-100,NA,0.04,0.48,0.12,1.66,2.1,0.11,0.002,0.23,0.05,NA,NA,NA,NA
"1024","2705","K10P1","10:25",2014-10-08,NA,4.99,NA,"S5",-99.9,0.4,0.06,0.44,0.04,0.19,1.38,NA,0.034,NA,0.003,NA,NA,NA,-100,NA,0.03,0.44,0.31,2.42,0.94,0.11,0.004,0.16,0.02,NA,NA,NA,NA
"1025","2706","K10P2","10:25",2014-10-08,NA,4.99,NA,"S5",-99.9,0.37,0.06,0.45,0.02,0.15,1.23,NA,0.032,NA,0.002,NA,NA,NA,-100,NA,0.04,0.34,0.1,2.35,0.81,0.06,0.008,0.14,0.01,NA,NA,NA,NA
"1026","2707","K10P3","10:25",2014-10-08,NA,5.07,NA,"S5",-99.9,0.34,0.07,0.51,0,0.16,1.39,NA,0.021,NA,0.002,NA,NA,NA,-100,NA,0.03,0.34,0,2.57,0.86,0.04,0.002,NA,NA,NA,NA,NA,NA
"1027","2708","N3","8:00",2014-10-08,"N3",4.11,NA,"G1",74.4,0.25,0.07,0.34,0.4,0.58,1.4,NA,0.205,NA,0.18,NA,NA,NA,-100,NA,0.05,0.95,0.39,1.36,17.35,0.57,0.014,0.39,0.32,NA,NA,NA,NA
"1028","2709","N3","9:00",2014-10-08,"N3",4.09,NA,"G1",74.7,0.22,0.06,0.35,0.31,0.57,1.45,NA,0.179,NA,0.178,NA,NA,NA,-100,NA,0.03,0.96,0.23,1.54,16.02,0.47,0.007,0.35,0.28,NA,NA,NA,NA
"1029","2710","N3","10:00",2014-10-08,"N3",4.1,NA,"G1",74.8,0.21,0.06,0.36,0.23,0.57,1.46,NA,0.162,NA,0.184,NA,NA,NA,-100,NA,0.03,1,0.16,1.6,15.66,0.45,0.007,0.35,0.28,NA,NA,NA,NA
"1030","2711","N3","10:55",2014-10-08,"N3",4.1,NA,"G1",74.9,0.19,0.06,0.37,0.19,0.57,1.49,NA,0.154,NA,0.182,NA,NA,NA,-100,NA,0.03,0.97,0.15,1.57,15.58,0.44,0.007,0.34,0.27,NA,NA,NA,NA
"1031","2712","N3P1","9:40",2014-10-08,NA,4.41,NA,"S1",-99.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0.06,0.63,0.15,3.04,0.27,0,0.007,NA,NA,NA,NA,NA,NA
"1032","2713","N4","8:05",2014-10-08,"N4",4.21,NA,"G2",88.5,0.31,0.07,0.4,0.22,0.72,1.73,NA,0.153,NA,0.163,NA,NA,NA,-100,NA,0.05,0.78,0.67,1.5,14.87,0.51,0.005,0.46,0.32,NA,NA,NA,NA
"1033","2714","N4","9:10",2014-10-08,"N4",4.21,NA,"G2",88.6,0.27,0.06,0.34,0.19,0.72,1.67,NA,0.144,NA,0.158,NA,NA,NA,-100,NA,0.04,0.84,0.61,1.56,13.98,0.5,0.003,0.46,0.32,NA,NA,NA,NA
"1034","2715","N4","10:10",2014-10-08,"N4",4.25,NA,"G2",88.7,0.25,0.06,0.36,0.18,0.7,1.69,NA,0.132,NA,0.155,NA,NA,NA,-100,NA,0.03,0.84,0.65,1.62,12.35,0.52,0.01,0.47,0.31,NA,NA,NA,NA
"1035","2716","N4","11:05",2014-10-08,"N4",4.24,NA,"G2",88.8,0.23,0.06,0.35,0.17,0.7,1.74,NA,0.127,NA,0.149,NA,NA,NA,-100,NA,0.02,0.83,0.71,1.64,12.04,0.46,0.005,0.45,0.29,NA,NA,NA,NA
"1036","2717","N4P1","10:10",2014-10-08,NA,4.68,NA,"S2",-99.9,0.12,0.04,0.27,0.02,0.43,1.81,NA,0.054,NA,0.012,NA,NA,NA,-100,NA,0.04,0.5,0.5,2.06,2.23,0.21,0.003,0.35,0.04,NA,NA,NA,NA
"1037","2718","N4P2","10:10",2014-10-08,NA,4.83,NA,"S2",-99.9,0.15,0.05,0.37,0.02,0.39,1.28,NA,0.069,NA,0.005,NA,NA,NA,-100,NA,0.05,0.5,0.5,2.19,1.31,0.16,0.003,0.35,0.02,NA,NA,NA,NA
"1038","2719","N5","8:10",2014-10-08,"N5",4.83,NA,"G2",183.2,0.17,0.05,0.53,0.11,0.51,1.36,NA,0.083,NA,0.007,NA,NA,NA,-100,NA,0.05,0.66,1.07,2.09,1.72,0.32,0.008,0.44,0.05,NA,NA,NA,NA
"1039","2720","N5","9:15",2014-10-08,"N5",4.83,NA,"G2",183.2,0.16,0.04,0.5,0.12,0.5,1.35,NA,0.075,NA,0.016,NA,NA,NA,-100,NA,0.05,0.66,0.91,2.05,1.76,0.29,0.005,0.45,0.05,NA,NA,NA,NA
"1040","2721","N5","10:15",2014-10-08,"N5",4.88,NA,"G2",183.3,0.16,0.04,0.49,0.12,0.51,1.35,NA,0.073,NA,0.007,NA,NA,NA,-100,NA,0.06,0.65,0.77,2.1,1.77,0.25,0.002,0.45,0.04,NA,NA,NA,NA
"1041","2722","N5","11:10",2014-10-08,"N5",4.91,NA,"G2",183.3,0.15,0.04,0.54,0.12,0.49,1.36,NA,0.073,NA,0.007,NA,NA,NA,-100,NA,0.13,0.7,0.76,1.99,1.74,0.23,0.001,0.46,0.04,NA,NA,NA,NA
"1042","2723","Bedrock L","8:50",2014-10-08,NA,4.01,NA,"G0",-99.9,0.79,0.16,0.43,0.8,0.33,1.71,NA,0.427,NA,0.295,NA,NA,NA,-100,NA,0.1,0.8,0.69,1.1,33.75,1.19,0.078,NA,NA,NA,NA,NA,NA
"1043","2724","K9P2","13:45",2014-10-09,NA,4.93,NA,"S3",-99.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0.04,0.7,0.1,2.97,4.66,0.17,0.016,NA,NA,NA,NA,NA,NA
"1044","2725","K10P1","13:45",2014-10-09,NA,4.97,NA,"S5",-99.9,0.13,0.05,0.31,0.02,0.46,2.05,NA,0.059,NA,0.012,NA,NA,NA,-100,NA,0.05,0.73,0.55,1.99,2.12,0.2,0.001,0.45,0.04,NA,NA,NA,NA
"1045","2726","K10P2","13:45",2014-10-09,NA,5,NA,"S5",-99.9,0.16,0.06,0.38,0.02,0.42,1.36,NA,0.07,NA,0.022,NA,NA,NA,-100,NA,0.05,0.54,0.75,2.16,1.13,0.23,0.005,0.44,0.02,NA,NA,NA,NA
"1046","2727","K10P3","13:45",2014-10-09,NA,5.05,NA,"S5",-99.9,0.09,0.04,0.42,0.01,0.36,2.99,NA,0.004,NA,0.007,NA,NA,NA,-100,NA,0.05,0.47,0.04,1.8,2.01,0.09,0,0.3,0.05,NA,NA,NA,NA
"1047","2728","N3P1","13:15",2014-10-09,NA,4.46,NA,"S1",-99.9,0.4,0.06,0.45,0.08,0.17,1.35,NA,0.033,NA,0.005,NA,NA,NA,-100,NA,0.08,0.46,0.21,2.44,0.86,0.09,0.001,0.18,0.02,NA,NA,NA,NA
"1048","2729","N4P1","13:30",2014-10-09,NA,4.66,NA,"S2",-99.9,0.36,0.06,0.45,0.07,0.14,1.2,NA,0.027,NA,0.004,NA,NA,NA,-100,NA,0.06,0.33,0.1,2.47,0.79,0.07,0,0.16,0.01,NA,NA,NA,NA
"1049","2730","N4P2","13:30",2014-10-09,NA,4.84,NA,"S2",-99.9,0.35,0.07,0.53,0.04,0.14,1.4,NA,0.021,NA,0.002,NA,NA,NA,-100,NA,0.06,0.37,0.02,2.65,0.73,0.05,0.003,0.17,0.01,NA,NA,NA,NA
"1050","HBWS3_5","HBWS3_5","-99",2015-07-20,NA,3.89,NA,"G0",-99.9,0.57,0.11,0.42,0.96,0.26,0.61,NA,0.067,NA,0.16,NA,NA,NA,-100,NA,0.03,0.24,0.09,0.36,47.25,0.7,0.031,NA,NA,NA,NA,NA,NA
"1051","HBWS3_6","HBWS3_6","-99",2015-07-20,NA,4,NA,"G0",-99.9,0.2,0.07,0.37,0.17,0.48,0.82,NA,0.017,NA,0.289,NA,NA,NA,-100,NA,0.03,0.11,0.04,0.83,32.04,0.51,0.016,0.25,0.23,NA,NA,NA,NA
"1052","HBWS3_8","HBWS3_8","-99",2015-07-20,NA,4.04,NA,"G0",-99.9,0.18,0.13,0.46,0.04,1.17,1.66,NA,0.009,NA,0.494,NA,NA,NA,-100,NA,0.02,0.2,0.05,1.44,30.88,0.45,0.012,0.57,0.47,NA,NA,NA,NA
"1053","HBWS3_9","HBWS3_9","-99",2015-07-20,NA,4.04,NA,"G0",-99.9,0.14,0.09,0.39,0.36,0.72,0.73,NA,0.021,NA,0.299,NA,NA,NA,-100,NA,0.03,0.12,0.53,0.84,30.46,0.64,0.027,0.34,0.28,NA,NA,NA,NA
"1054","DG-001","52_4d2","10:50",2019-03-13,"52_4_d2",6.58,NA,"G3",-99.9,4.75,1.67,2.03,0.63,0.02,15.66,NA,0.004,NA,0.02,NA,NA,NA,-100,NA,0.07,0.51,0.71,4.56,0.42,0.18,0.012,NA,NA,46.6,0.014,0.032,0
"1055","DG-002","52_4d1","10:55",2019-03-13,"52_4_d1",6.7,NA,"G4",-99.9,3.73,1.45,2.64,0.76,0.13,11.23,NA,0.08,NA,0.12,NA,NA,NA,-100,NA,0.08,0.47,0.89,4.56,0.84,0.23,0.012,NA,NA,44.2,0.006,0.031,0
"1056","DG-003","52_d2","11:47",2019-03-13,"52_d2",5.61,NA,"G2",-99.9,0.36,0.16,1.33,0.49,0.32,5.28,NA,0.114,NA,0.03,NA,NA,NA,-100,NA,0.04,0.47,0.78,2.85,3.9,0.32,0.039,NA,NA,13.3,0.003,0.005,0.04
"1057","DG-004","42_4d1","14:25",2019-06-06,"42_4_d1",6.34,NA,"G3",-99.9,4.28,0.65,1.68,0.62,0.01,13.95,NA,0.02,NA,0,NA,NA,NA,-100,NA,0.05,0.61,0.87,5.59,0.43,0.27,0.005,NA,NA,34.8,0.006,0.019,-0.001
"1058","DG-005","42_4d2","14:40",2019-06-06,"42_4_d2",5.75,NA,"G3",-99.9,1.31,0.15,0.95,0.45,0.03,7.92,NA,0.02,NA,0,NA,NA,NA,-100,NA,0.05,0.52,0.55,3.77,0.44,0.15,0.009,NA,NA,15.97,0.001,0.019,0.003
"1059","DG-009","52_4d1","11:43",2019-06-06,"52_4_d1",6.75,NA,"G4",-99.9,3.95,1.48,3.44,0.83,0.26,12.91,NA,0.12,NA,0.24,NA,NA,NA,-100,NA,0.08,0.54,0.72,4.99,0.28,0.23,0.008,NA,NA,46.5,0.015,0.029,0.003
"1060","DG-010","52_4d2","11:00",2019-06-06,"52_4_d2",6.78,NA,"G3",-99.9,5.31,2.03,2.16,0.73,0.03,16.08,NA,0,NA,0.03,NA,NA,NA,-100,NA,0.13,0.6,0.93,4.63,0.77,0.23,0.004,NA,NA,50.4,0.004,0.037,0.006
"1061","DG-013","52_d2","9:10",2019-06-06,"52_d2",4.99,NA,"G2",-99.9,0.33,0.1,0.65,0.22,0.53,4.79,NA,0.01,NA,0.04,NA,NA,NA,-100,NA,0.04,0.57,0.31,2.73,4.48,0.22,0.016,NA,NA,12.69,0.001,0.006,0.014
"1062","DG-015","K1d","15:11",2019-06-06,"K1d",6.07,NA,"G5",-99.9,1.36,0.28,1.12,0.21,0.01,8,NA,0.01,NA,0.01,NA,NA,NA,-100,NA,0.04,0.53,0.27,3.05,0.54,0.11,0.004,NA,NA,16.29,0.001,0.009,0.022
"1063","DG-031","42_4d1","16:48",2019-06-11,"42_4_d1",6.68,NA,"G3",-99.9,1.29,0.15,1,0.44,0.02,7.92,NA,0.03,NA,0,NA,NA,NA,-100,NA,0.04,0.52,0.56,3.85,0.28,0.13,0.002,NA,NA,15.22,0.001,0.018,-0.003
"1064","DG-032","42_4d2","16:44",2019-06-11,"42_4_d2",5.82,NA,"G3",-99.9,5.95,0.62,1.61,0.59,0,12.9,NA,0.02,NA,0,NA,NA,NA,-100,NA,0.05,0.67,0.88,5.41,0.37,0.23,0.02,NA,NA,41.6,0.006,0.019,0.001
"1065","DG-036","52_4d1","15:10",2019-06-11,"52_4_d1",6.9,NA,"G4",-99.9,4.01,1.52,5.58,0.98,0.42,12.96,NA,0.19,NA,0.32,NA,NA,NA,-100,NA,0.16,0.64,0.9,5.35,1.95,0.26,0.007,NA,NA,55.3,0.005,0.03,-0.002
"1066","DG-037","52_4d2","14:48",2019-06-11,"52_4_d2",6.68,NA,"G3",-99.9,4.77,1.76,2.03,0.66,0.05,15.88,NA,0.01,NA,0.05,NA,NA,NA,-100,NA,0.08,0.54,0.64,4.72,0.27,0.18,0.004,NA,NA,45,0.016,0.033,-0.002
"1067","DG-040","52_d2","13:33",2019-06-11,"52_d2",4.98,NA,"G2",-99.9,0.27,0.09,0.57,0.12,0.7,4.77,NA,0.01,NA,0.02,NA,NA,NA,-100,NA,0.03,0.48,0.35,2.6,5.26,0.24,0.012,NA,NA,12.1,0.001,0.005,0
"1068","DG-041","42_4d1","13:27",2019-06-18,"42_4_d1",6.48,NA,"G3",-99.9,6.63,0.66,1.58,0.57,0,13.05,NA,0.01,NA,0.01,NA,NA,NA,-100,NA,0.05,0.5,0.86,5.02,0.49,0.21,0.014,NA,NA,45.48,0.005,0.02,0
"1069","DG-042","42_4d2","13:23",2019-06-18,"42_4_d2",5.65,NA,"G3",-99.9,1.4,0.16,0.96,0.5,0.02,7.68,NA,0.03,NA,0,NA,NA,NA,-100,NA,0.05,0.46,0.55,3.84,0.45,0.12,0.007,NA,NA,16.31,0.001,0.02,0
"1070","DG-043","52_4d1","11:42",2019-06-18,"52_4_d1",6.83,NA,"G4",-99.9,4.23,1.57,7.18,1.32,1.21,14.03,NA,0.22,NA,0.92,NA,NA,NA,-100,NA,0.19,0.7,0.79,6.11,2.78,0.27,0.008,NA,NA,66.1,0.003,0.03,0.01
"1071","DG-044","52_4d2","11:10",2019-06-18,"52_4_d2",6.57,NA,"G3",-99.9,5.21,1.88,2.14,0.75,0.01,15.5,NA,0,NA,0.01,NA,NA,NA,-100,NA,0.08,0.5,0.67,4.81,0.49,0.18,0.007,NA,NA,49.1,0.014,0.04,0.01
"1072","DG-045","52_d2","10:25",2019-06-18,"52_d2",5.01,NA,"G2",-99.9,0.41,0.12,0.67,0.22,0.57,4.98,NA,0.02,NA,0.04,NA,NA,NA,-100,NA,0.03,0.46,0.37,2.82,4.64,0.21,0.005,NA,NA,12.92,0.001,0,0.01
"1073","DG-046","K1d","10:16",2019-06-18,"K1d",5.89,NA,"G5",-99.9,1.37,0.28,1.1,0.2,0.01,7.76,NA,0.01,NA,0.01,NA,NA,NA,-100,NA,0.04,0.42,0.38,2.91,0.66,0.13,0.026,NA,NA,16.07,0.001,0.01,0.02
"1074","DG-057","42_4d1","13:44",2019-06-25,"42_4_d1",6.74,NA,"G3",-99.9,6.74,0.66,1.56,0.56,0.01,13.07,NA,0.01,NA,0.01,NA,NA,NA,-100,NA,0.05,0.49,0.9,5.3,0.33,0.22,0.016,NA,NA,46.8,0.007,0.02,0.01
"1075","DG-058","42_4d2","13:48",2019-06-25,"42_4_d2",5.81,NA,"G3",-99.9,1.35,0.15,0.9,0.48,0.02,7.73,NA,0.03,NA,0,NA,NA,NA,-100,NA,0.06,0.47,0.53,3.85,0.38,0.13,0.004,NA,NA,16.95,0.001,0.02,0
"1076","DG-059","52_4d1","11:42",2019-06-25,"52_4_d1",6.95,NA,"G4",-99.9,4.09,1.4,4.26,0.87,0.21,12.41,NA,0.08,NA,0.16,NA,NA,NA,-100,NA,0.14,0.61,0.87,4.75,1.21,0.24,0.002,NA,NA,53.5,0.003,0.03,0
"1077","DG-060","52_4d2","11:19",2019-06-25,"52_4_d2",6.73,NA,"G3",-99.9,4.92,1.76,2.01,0.71,0.04,15.32,NA,0,NA,0.03,NA,NA,NA,-100,NA,0.07,0.48,0.61,4.76,0.28,0.15,0.001,NA,NA,49.1,0.011,0.03,0
"1078","DG-061","52_d2","10:09",2019-06-25,"52_d2",4.91,NA,"G2",-99.9,0.36,0.11,0.62,0.19,0.65,4.84,NA,0.01,NA,0.04,NA,NA,NA,-100,NA,0.03,0.51,0.28,2.63,5.25,0.18,0.006,NA,NA,12.51,0.002,0,0
"1079","DG-062","K1d","14:27",2019-06-25,"K1d",6.02,NA,"G5",-99.9,1.35,0.27,1.08,0.18,0.01,7.84,NA,0.01,NA,0,NA,NA,NA,-100,NA,0.04,0.4,0.19,2.96,0.6,0.09,0.005,NA,NA,16.23,0.001,0.01,0.01
"1080","DG-064","V2","13:13",2019-06-25,"V2",5.04,NA,"G2",-99.9,0.15,0.04,0.46,0.14,0.15,2.96,NA,0.06,NA,0.01,NA,NA,NA,-100,NA,0.02,0.37,0.57,2.02,1.58,0.16,0.01,NA,NA,10.16,0.001,0,0.02
"1081","DG-065","42_4d1","13:37",2019-07-02,"42_4_d1",6.43,NA,"G3",-99.9,6.5,0.66,1.54,0.55,0,11.95,NA,0,NA,0,NA,NA,NA,-100,NA,0.05,0.47,0.93,5.31,0.38,0.24,0.017,NA,NA,46.4,0.008,0.019,0.012
